division,officer_1_serial,year,black_stops,total_stops,officer_black_stop_percent,division_black__population_percent,division_black_stop_percent
SOUTHEAST,55547,2018,646,958,0.6743215031315241,0.29518208,0.6166322377436443
SOUTHEAST,55613,2018,327,406,0.8054187192118226,0.29518208,0.6166322377436443
SOUTHEAST,55662,2018,367,496,0.7399193548387096,0.29518208,0.6166322377436443
SOUTHEAST,56814,2018,521,764,0.6819371727748691,0.29518208,0.6166322377436443
SOUTHEAST,56958,2018,260,387,0.6718346253229974,0.29518208,0.6166322377436443
SOUTHEAST,57436,2018,178,275,0.6472727272727272,0.29518208,0.6166322377436443
SOUTHEAST,57843,2018,117,184,0.6358695652173914,0.29518208,0.6166322377436443
SOUTHEAST,58146,2018,748,1011,0.7398615232443125,0.29518208,0.6166322377436443
SOUTHEAST,58405,2018,99,145,0.6827586206896552,0.29518208,0.6166322377436443
SOUTHEAST,58874,2018,170,253,0.6719367588932806,0.29518208,0.6166322377436443
SOUTHEAST,59657,2018,82,114,0.7192982456140351,0.29518208,0.6166322377436443
SOUTHEAST,60532,2018,89,120,0.7416666666666667,0.29518208,0.6166322377436443
SOUTHEAST,60678,2018,182,278,0.6546762589928058,0.29518208,0.6166322377436443
SOUTHEAST,61342,2018,88,128,0.6875,0.29518208,0.6166322377436443
SOUTHEAST,61524,2018,99,149,0.6644295302013423,0.29518208,0.6166322377436443
SOUTHEAST,61908,2018,75,101,0.7425742574257426,0.29518208,0.6166322377436443
SOUTHEAST,62317,2018,88,138,0.6376811594202898,0.29518208,0.6166322377436443
SOUTHEAST,62663,2018,94,126,0.746031746031746,0.29518208,0.6166322377436443
SOUTHEAST,62685,2018,127,171,0.7426900584795322,0.29518208,0.6166322377436443
SOUTHEAST,63077,2018,104,164,0.6341463414634146,0.29518208,0.6166322377436443
SOUTHEAST,63860,2018,100,150,0.6666666666666666,0.29518208,0.6166322377436443
SOUTHEAST,64195,2018,130,194,0.6701030927835051,0.29518208,0.6166322377436443
SOUTHEAST,64430,2018,127,191,0.6649214659685864,0.29518208,0.6166322377436443
SOUTHEAST,64446,2018,103,159,0.6477987421383647,0.29518208,0.6166322377436443
SOUTHEAST,65134,2018,99,137,0.7226277372262774,0.29518208,0.6166322377436443
CENTRAL,10318,2018,91,143,0.6363636363636364,0.171908311,0.3385607029041609
CENTRAL,12267,2018,70,129,0.5426356589147286,0.171908311,0.3385607029041609
CENTRAL,17495,2018,63,116,0.5431034482758621,0.171908311,0.3385607029041609
CENTRAL,20329,2018,85,155,0.5483870967741935,0.171908311,0.3385607029041609
CENTRAL,21948,2018,78,159,0.49056603773584906,0.171908311,0.3385607029041609
CENTRAL,23893,2018,255,412,0.6189320388349514,0.171908311,0.3385607029041609
CENTRAL,23894,2018,48,106,0.4528301886792453,0.171908311,0.3385607029041609
CENTRAL,24405,2018,54,122,0.4426229508196721,0.171908311,0.3385607029041609
CENTRAL,25680,2018,85,166,0.5120481927710844,0.171908311,0.3385607029041609
CENTRAL,25685,2018,158,297,0.531986531986532,0.171908311,0.3385607029041609
CENTRAL,27200,2018,120,175,0.6857142857142857,0.171908311,0.3385607029041609
CENTRAL,46330,2018,74,113,0.6548672566371682,0.171908311,0.3385607029041609
CENTRAL,46342,2018,106,213,0.49765258215962443,0.171908311,0.3385607029041609
CENTRAL,46361,2018,75,113,0.6637168141592921,0.171908311,0.3385607029041609
CENTRAL,46931,2018,75,106,0.7075471698113207,0.171908311,0.3385607029041609
CENTRAL,47273,2018,140,209,0.6698564593301436,0.171908311,0.3385607029041609
CENTRAL,49009,2018,65,143,0.45454545454545453,0.171908311,0.3385607029041609
CENTRAL,49134,2018,75,118,0.635593220338983,0.171908311,0.3385607029041609
CENTRAL,49423,2018,138,231,0.5974025974025974,0.171908311,0.3385607029041609
CENTRAL,49590,2018,97,154,0.6298701298701299,0.171908311,0.3385607029041609
CENTRAL,50711,2018,66,143,0.46153846153846156,0.171908311,0.3385607029041609
CENTRAL,50712,2018,151,240,0.6291666666666667,0.171908311,0.3385607029041609
CENTRAL,50779,2018,78,168,0.4642857142857143,0.171908311,0.3385607029041609
CENTRAL,51088,2018,57,115,0.4956521739130435,0.171908311,0.3385607029041609
CENTRAL,54072,2018,150,211,0.7109004739336493,0.171908311,0.3385607029041609
CENTRAL,55580,2018,156,249,0.6265060240963856,0.171908311,0.3385607029041609
CENTRAL,55955,2018,53,116,0.45689655172413796,0.171908311,0.3385607029041609
CENTRAL,55956,2018,67,103,0.6504854368932039,0.171908311,0.3385607029041609
CENTRAL,55967,2018,85,143,0.5944055944055944,0.171908311,0.3385607029041609
CENTRAL,56813,2018,102,210,0.4857142857142857,0.171908311,0.3385607029041609
CENTRAL,56950,2018,172,226,0.7610619469026548,0.171908311,0.3385607029041609
CENTRAL,56963,2018,403,553,0.72875226039783,0.171908311,0.3385607029041609
CENTRAL,57161,2018,417,628,0.6640127388535032,0.171908311,0.3385607029041609
CENTRAL,57438,2018,294,663,0.4434389140271493,0.171908311,0.3385607029041609
CENTRAL,57719,2018,62,113,0.5486725663716814,0.171908311,0.3385607029041609
CENTRAL,57764,2018,64,140,0.45714285714285713,0.171908311,0.3385607029041609
CENTRAL,57947,2018,111,215,0.5162790697674419,0.171908311,0.3385607029041609
CENTRAL,58165,2018,60,116,0.5172413793103449,0.171908311,0.3385607029041609
CENTRAL,58527,2018,110,216,0.5092592592592593,0.171908311,0.3385607029041609
CENTRAL,58731,2018,104,193,0.538860103626943,0.171908311,0.3385607029041609
CENTRAL,58848,2018,144,267,0.5393258426966292,0.171908311,0.3385607029041609
CENTRAL,58851,2018,114,187,0.6096256684491979,0.171908311,0.3385607029041609
CENTRAL,59018,2018,112,206,0.5436893203883495,0.171908311,0.3385607029041609
CENTRAL,59656,2018,116,203,0.5714285714285714,0.171908311,0.3385607029041609
CENTRAL,59668,2018,88,206,0.42718446601941745,0.171908311,0.3385607029041609
CENTRAL,59673,2018,181,276,0.6557971014492754,0.171908311,0.3385607029041609
CENTRAL,59775,2018,57,130,0.43846153846153846,0.171908311,0.3385607029041609
CENTRAL,59791,2018,128,207,0.6183574879227053,0.171908311,0.3385607029041609
CENTRAL,60347,2018,108,242,0.4462809917355372,0.171908311,0.3385607029041609
CENTRAL,60372,2018,208,475,0.4378947368421053,0.171908311,0.3385607029041609
CENTRAL,61321,2018,100,178,0.5617977528089888,0.171908311,0.3385607029041609
CENTRAL,61541,2018,61,124,0.49193548387096775,0.171908311,0.3385607029041609
CENTRAL,62184,2018,63,123,0.5121951219512195,0.171908311,0.3385607029041609
CENTRAL,63321,2018,69,136,0.5073529411764706,0.171908311,0.3385607029041609
CENTRAL,63654,2018,64,147,0.43537414965986393,0.171908311,0.3385607029041609
NEWTON,11229,2018,99,248,0.39919354838709675,0.08277416,0.29049335632063805
NEWTON,12285,2018,48,105,0.45714285714285713,0.08277416,0.29049335632063805
NEWTON,12423,2018,85,241,0.35269709543568467,0.08277416,0.29049335632063805
NEWTON,13735,2018,119,172,0.6918604651162791,0.08277416,0.29049335632063805
NEWTON,15875,2018,66,125,0.528,0.08277416,0.29049335632063805
NEWTON,15949,2018,182,543,0.3351749539594843,0.08277416,0.29049335632063805
NEWTON,16850,2018,52,141,0.36879432624113473,0.08277416,0.29049335632063805
NEWTON,17238,2018,76,160,0.475,0.08277416,0.29049335632063805
NEWTON,18452,2018,74,123,0.6016260162601627,0.08277416,0.29049335632063805
NEWTON,23014,2018,86,190,0.45263157894736844,0.08277416,0.29049335632063805
NEWTON,24437,2018,39,113,0.34513274336283184,0.08277416,0.29049335632063805
NEWTON,26573,2018,49,139,0.35251798561151076,0.08277416,0.29049335632063805
NEWTON,27187,2018,43,107,0.40186915887850466,0.08277416,0.29049335632063805
NEWTON,45367,2018,41,105,0.3904761904761905,0.08277416,0.29049335632063805
NEWTON,47439,2018,124,177,0.7005649717514124,0.08277416,0.29049335632063805
NEWTON,47553,2018,35,106,0.330188679245283,0.08277416,0.29049335632063805
NEWTON,47570,2018,38,114,0.3333333333333333,0.08277416,0.29049335632063805
NEWTON,47813,2018,65,126,0.5158730158730159,0.08277416,0.29049335632063805
NEWTON,48049,2018,56,138,0.4057971014492754,0.08277416,0.29049335632063805
NEWTON,48467,2018,63,143,0.4405594405594406,0.08277416,0.29049335632063805
NEWTON,48963,2018,76,214,0.35514018691588783,0.08277416,0.29049335632063805
NEWTON,48996,2018,76,103,0.7378640776699029,0.08277416,0.29049335632063805
NEWTON,49275,2018,72,175,0.4114285714285714,0.08277416,0.29049335632063805
NEWTON,49740,2018,115,342,0.3362573099415205,0.08277416,0.29049335632063805
NEWTON,50674,2018,64,184,0.34782608695652173,0.08277416,0.29049335632063805
NEWTON,50883,2018,129,236,0.5466101694915254,0.08277416,0.29049335632063805
NEWTON,51029,2018,65,178,0.3651685393258427,0.08277416,0.29049335632063805
NEWTON,51082,2018,50,142,0.352112676056338,0.08277416,0.29049335632063805
NEWTON,51096,2018,89,231,0.3852813852813853,0.08277416,0.29049335632063805
NEWTON,51176,2018,55,114,0.4824561403508772,0.08277416,0.29049335632063805
NEWTON,51260,2018,74,155,0.4774193548387097,0.08277416,0.29049335632063805
NEWTON,52814,2018,59,156,0.3782051282051282,0.08277416,0.29049335632063805
NEWTON,53569,2018,169,394,0.4289340101522843,0.08277416,0.29049335632063805
NEWTON,53790,2018,161,382,0.4214659685863874,0.08277416,0.29049335632063805
NEWTON,54168,2018,122,356,0.34269662921348315,0.08277416,0.29049335632063805
NEWTON,54297,2018,352,968,0.36363636363636365,0.08277416,0.29049335632063805
NEWTON,54595,2018,147,449,0.3273942093541203,0.08277416,0.29049335632063805
NEWTON,54893,2018,243,572,0.42482517482517484,0.08277416,0.29049335632063805
NEWTON,55435,2018,181,386,0.4689119170984456,0.08277416,0.29049335632063805
NEWTON,55558,2018,171,460,0.3717391304347826,0.08277416,0.29049335632063805
NEWTON,55965,2018,262,799,0.327909887359199,0.08277416,0.29049335632063805
NEWTON,57156,2018,312,709,0.4400564174894217,0.08277416,0.29049335632063805
NEWTON,57438,2018,39,119,0.3277310924369748,0.08277416,0.29049335632063805
NEWTON,57963,2018,36,107,0.3364485981308411,0.08277416,0.29049335632063805
NEWTON,58159,2018,47,128,0.3671875,0.08277416,0.29049335632063805
NEWTON,58409,2018,44,113,0.3893805309734513,0.08277416,0.29049335632063805
NEWTON,59170,2018,273,740,0.3689189189189189,0.08277416,0.29049335632063805
NEWTON,59171,2018,149,322,0.46273291925465837,0.08277416,0.29049335632063805
NEWTON,59243,2018,67,123,0.5447154471544715,0.08277416,0.29049335632063805
NEWTON,59972,2018,94,283,0.3321554770318021,0.08277416,0.29049335632063805
NEWTON,59976,2018,102,281,0.36298932384341637,0.08277416,0.29049335632063805
NEWTON,59980,2018,57,170,0.3352941176470588,0.08277416,0.29049335632063805
NEWTON,60372,2018,46,120,0.38333333333333336,0.08277416,0.29049335632063805
NEWTON,60663,2018,40,112,0.35714285714285715,0.08277416,0.29049335632063805
NEWTON,61541,2018,39,109,0.3577981651376147,0.08277416,0.29049335632063805
NEWTON,63082,2018,104,283,0.3674911660777385,0.08277416,0.29049335632063805
HOLLYWOOD,15169,2018,47,117,0.4017094017094017,0.049494011,0.34131469664742226
HOLLYWOOD,15291,2018,62,160,0.3875,0.049494011,0.34131469664742226
HOLLYWOOD,16930,2018,55,112,0.49107142857142855,0.049494011,0.34131469664742226
HOLLYWOOD,20208,2018,53,128,0.4140625,0.049494011,0.34131469664742226
HOLLYWOOD,23522,2018,45,113,0.39823008849557523,0.049494011,0.34131469664742226
HOLLYWOOD,23594,2018,82,125,0.656,0.049494011,0.34131469664742226
HOLLYWOOD,26228,2018,55,119,0.46218487394957986,0.049494011,0.34131469664742226
HOLLYWOOD,26233,2018,56,130,0.4307692307692308,0.049494011,0.34131469664742226
HOLLYWOOD,44385,2018,53,123,0.43089430894308944,0.049494011,0.34131469664742226
HOLLYWOOD,45029,2018,112,180,0.6222222222222222,0.049494011,0.34131469664742226
HOLLYWOOD,45679,2018,119,177,0.672316384180791,0.049494011,0.34131469664742226
HOLLYWOOD,46911,2018,59,115,0.5130434782608696,0.049494011,0.34131469664742226
HOLLYWOOD,46990,2018,160,370,0.43243243243243246,0.049494011,0.34131469664742226
HOLLYWOOD,46995,2018,77,148,0.5202702702702703,0.049494011,0.34131469664742226
HOLLYWOOD,47254,2018,83,171,0.4853801169590643,0.049494011,0.34131469664742226
HOLLYWOOD,47334,2018,96,152,0.631578947368421,0.049494011,0.34131469664742226
HOLLYWOOD,47682,2018,61,126,0.48412698412698413,0.049494011,0.34131469664742226
HOLLYWOOD,47688,2018,68,104,0.6538461538461539,0.049494011,0.34131469664742226
HOLLYWOOD,47968,2018,62,129,0.4806201550387597,0.049494011,0.34131469664742226
HOLLYWOOD,48032,2018,76,121,0.628099173553719,0.049494011,0.34131469664742226
HOLLYWOOD,48057,2018,84,139,0.60431654676259,0.049494011,0.34131469664742226
HOLLYWOOD,48378,2018,164,325,0.5046153846153846,0.049494011,0.34131469664742226
HOLLYWOOD,48859,2018,234,589,0.39728353140916806,0.049494011,0.34131469664742226
HOLLYWOOD,48937,2018,63,139,0.45323741007194246,0.049494011,0.34131469664742226
